location,location_other,timezone,expenses,workspace,class_attendance,enrollment_changes,preferred_grading,flu_symptoms,tested,self_quarantined,know_positive,spring_break,harvard_handling,harvard_comments,govt_handling,govt_comments,normal_estimate,thoughts,year,gender,ethnicity,freshman_dorm,house,concentration
Family home,,-4,50,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,None of the above,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",4,,2,,2-3 months,,2021,Female,White,N/A,Leverett,Computer Science
Family home,,-4,100,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"Yes, but it was not the spring break trip I planned",10,harvard was quick to act and adjusted accommodations as quickly as they could,1,why did we ignore this for months - fuck donald,3-6 months,,2020,Male,White,Holworthy,Cabot,Sociology
Family home,,-5,600,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,No,No,I have self-quarantinined from family and friends,No,"No, I did not have spring break plans",2,,2,,3-6 months,,2023,Female,Hispanic or Latino,Wigglesworth,N/A,Computer Science
Family home,,,,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have changed classes to pass/fail,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",2,"The delay on all decisions, and the decisions finally made have been poor and very taxing on many individuals, especially those suffering mental health disorders. The uncertainty is stressful, and decisions such as leaving classes and grading to the discretion of each professor only add to that uncertainty.",1,What response?,6-12 months,,2022,Male,"White,Hispanic or Latino,Middle Eastern or North African",,Pfoho,East Asian Studies
Family home,,-4,,I have neither a quiet space to work nor reliable internet access,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",6,how can we learn when our family and friends are dying?,4,,6-12 months,how can we learn when our family and friends are dying?,2022,Female,White,,Lowell,Psychology
Family home,,-4,100,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,None of the above,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",7,I think in the end the level of support was good but the resources should have been available much faster than they were.,7,,2-3 months,,2023,Female,Other,Weld,,Government
Family home,,3,300,I have a quiet space to work but not reliable internet access,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",4,,2,,3-6 months,,2023,Female,White,,,
Family home,,-5,400,I have neither a quiet space to work nor reliable internet access,Mix of both live and recorded lectures/sections,I have changed classes to pass/fail,Universal pass/fail,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",1,Harvard has done little to ensure that students are in a stable household or address mental and physical health concerns. The fact we still have to worry about taking graded classes amidst this is absurd and discriminatory based on variables outside of a students control.,3,"There should be a national shutdown in place, at least some states are taking efforts to minimize person to person contact.",3-6 months,,2020,Female,White,Canaday,Quincy,Economics
Family home,,-7,,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",7,,4,,6-12 months,,2022,Male,Asian,,Quincy,Philosophy
A friend's house,,-7,900,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal pass/fail,No,No,I have not self-quarantined after leaving campus,No,"No, I cancelled spring break plans",3,"It was the right decision to move us out and to move us out as quickly as they did, even if it didn't seem like it at the time. However, the way they handled lower income students was not great. What they are doing now--giving refunds--is awesome and very generous, but it definitely didn't feel like the administration was understanding or empathetic at all during the move out week. I'm a low income senior and the combination of financial concerns and the loss of senior spring/graduation felt very unacknowledged during that week.",2,Trump is a fucking idiot,3-6 months,,2020,Female,White,,Winthrop,English
Family home,,-5,650,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,I have self-quarantinined from family and friends,No,"No, I cancelled spring break plans",9,"Appreciated the guidance on move out, storage, etc, especially compared to MIT's. Wish they made a decision on grading changes and commencement earlier.",1,"Can't believe Trump wants to resume regular activity after two weeks. All positive efforts to contain the virus (shelter-in-places, lockdowns) come from state or city levels.",3-6 months,This fucking sucks!,2022,Female,Asian,,Winthrop,"Computer Science,    Mathematics"
Family home,,3,50,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",0,"The initial strict decision to send all students home was later relaxed, but it was too late for some, including me, who had already booked their plane tickets after repeatedly being refused housing on campus.",4,,2-3 months,,2023,Male,White,Stoughton,,"Anthropology,Government"
Family home,,-4,300,I have a quiet space to work but not reliable internet access,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"Yes, but it was not the spring break trip I planned",4,"could have provided better support for moving out, more time, and options. However, I think online classes and informing us to leave campus before spring break was the right call.",2,Too much focus on economic outfall and impatience/disbelief and not trying hard enough to convince public of its importance. Not enough early belief of the science and preemptive actions like early testing that could've helped slow this earlier.,3-6 months,,2023,Female,Other,Holworthy,,Integrative Biology
Family home,,-7,600,I have reliable internet access and a quiet space to work,Watching recorded lecture,I have changed classes to pass/fail,Universal A/A-,No,No,I have self-quarantinined from family and friends,Yes,"No, I cancelled spring break plans",3,,1,,3-6 months,,2022,Female,Asian,N/A,Adams,Computer Science
Family home,,1,400,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,None of the above,Mild symptoms,No,I have self-quarantinined from family and friends,No,"No, I cancelled spring break plans",10,"Had to happen. Had some costs, but was definitely for the best.",2,"National government is Spain - they underestimated the gravity of the virus, and promoted manifestations and large gatherings up until the situation got out of hand. ",2-3 months,,2021,Female,"White,Hispanic or Latino,Asian",N/A,Mather,Economics
Family home,,-4,400,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,I have self-quarantinined from family and friends,No,"No, I did not have spring break plans",9,"At the time, most though Harvard was overreacting. It's now very clear that they were not. ",3,,3-6 months,,2020,Male,"White,Hispanic or Latino",,Lowell,Mathematics
Family home,,-4,,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,Severe symptoms,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",4,,2,,2-3 months,,2021,Female,White,,Cabot,History
Family home,,-7,190,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,I have self-quarantinined from family and friends,No,"No, I did not have spring break plans",8,,5,,3-6 months,,2020,Male,Asian,N/A,Pfoho,Physics
Family home,,-4,300,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",8,,3,,2-3 months,,2021,Female,Black or African American,N/A,Pfoho,Computer Science
Family home,,-7,800,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have changed classes to pass/fail,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",6,,4,,Never,Normal is relative; the world won't be the same.,2022,Female,"White,Hispanic or Latino,Black or African American",,Lowell,Psychology
Family home,,-4,0,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have changed classes to pass/fail,Optional pass/fail,No,No,I have self-quarantinined from family and friends,No,"No, I cancelled spring break plans",5,"Could've given us more time, but I appreciate the support they gave us subsequently (boxes, financial support, etc.)",9,Literally no old person is gonna sacrifice themselves for a better economy...some of the dumbest things I've heard in a while,6-12 months,Hopefully it'll be done sooner rather than later,2022,Female,Asian,,Lowell,Government
Family home,,-4,100,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal pass/fail,No,No,I have not self-quarantined after leaving campus,Yes,"No, I cancelled spring break plans",8,,2,,3-6 months,,2020,Female,Asian,,Leverett,Environmental Science and Engineering
Family home,,,0,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",6,,3,,2-3 months,,2022,Male,White,,Cabot,Applied Mathematics
On campus with exemption,,-4,300,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have changed classes to pass/fail,Universal A/A-,Mild symptoms,No,I have self-quarantinined from family and friends,No,"No, I did not have spring break plans",6,"I've been trying to be understanding given the fact that this is a new situation for even Harvard's administrators, but it was excessively shitty to deliver the information via email the DAY AFTER THE WITHDRAWAL PERIOD CLOSED, and WITHOUT having established procedures for information dissemination to students (i.e. the first email which served effectively as an eviction notice with no resources listed, the uncertainty of exemption status until Thrusday afternoon, etc.)",9,,3-6 months,,2021,Male,White,,Eliot,Psychology
Family home,,-4,900,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",4,,2,,3-6 months,,2021,Female,White,,,
A friend's house,,-7,200,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal pass/fail,No,No,I have not self-quarantined after leaving campus,No,"No, I cancelled spring break plans",5,"The university probably knew weeks in advance that sending students home could be a possibility if the situation got worse. They should have made us aware early on that this was a possibility so that we could make plans of where we'd go in case we got sent ""home"", rather than leaving us to figure it out in less than 5 days. Was very difficult for those of us without a home to go back to who had to rely on friends. ",6,,3-6 months,,2020,Male,Hispanic or Latino,,,
A friend's house,,-4,2000,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,I have self-quarantinined from family and friends,Yes,"No, I cancelled spring break plans",7,"I believe the actions taken were necessary, but I would have appreciate the information about move-out earlier.
At the very least, there should have been an indication that a full-move out was a possibility being discussed (so that we could prepare).
I also think students not on financial aid should have received a stipend given that the move-out placed financial burdens on students, regardless of their parents' income bracket.",4,Earlier action was needed.,3-6 months,N/A,2020,Female,Prefer not to say,,Leverett,History and Literature
Family home,,-4,50,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",3,,1,,3-6 months,,2022,Male,White,N/A,Currier,
Family home,,-4,0,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",6,,5,,2-3 months,,2022,Female,Asian,,Winthrop,"Applied Mathematics,Economics"
Family home,,-5,500,I have neither a quiet space to work nor reliable internet access,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,I have self-quarantinined from family and friends,Yes,"No, I cancelled spring break plans",9,,4,,6-12 months,,2023,Male,Middle Eastern or North African,Thayer,N/A,Chemistry
Family home,,-7,400,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,None of the above,No,No,"I have self-quarantined from friends, but not from immediate family",No,"Yes, I went on my planned spring break trip",7,,3,,2-3 months,,2023,Female,Hispanic or Latino,Weld,N/A,Government
Family home,,-4,1000,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,No,No,I have self-quarantinined from family and friends,Yes,"No, I did not have spring break plans",9,"Harvard's response was the best, and well-timed. It allowed us to get off campus before the outbreak got really bad and it was also good that it happened before spring break. They took the initiative and took accountability and very generous with resources to help students. People complain that we were give too little time to move out, but if we had been given a week extra, that would have just been an extra week of people moping, partying, getting drunk, and chaos, and that would only have increased the infection rate of Covid-19. I applaud the way they handled the situation, I for one am glad I'm quarantined in my home with family and not on campus. ",1,"They should have banned international travel weeks ago, and imposed social isolation on the entire country instead of making it optional. No one should have gone on a spring break, they should have stayed home, and the government should have enforced this. ",6-12 months,,2021,Female,Hispanic or Latino,N/A,Mather,Integrative Biology
Family home,,-7,,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",4,,2,,3-6 months,,2022,Male,Asian,Canaday,Dunster,Chemical and Physical Biology
A friend's house,,-4,1000,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal pass/fail,No,No,I have not self-quarantined after leaving campus,No,"No, I cancelled spring break plans",8,They did the best that they could given the circumstances.,7,,3-6 months,,2021,Female,White,,Pfoho,Computer Science
Family home,,5,2000,I have a quiet space to work but not reliable internet access,Mix of both live and recorded lectures/sections,I have changed classes to pass/fail,Universal A/A-,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",3,"5 days is not enough for international students to arrange flights and accommodation - especially during midterms. 
I hope there will be adjustments to tuition fees since zoom lectures and sections are not the same study experience and grades will probably suffer. 
",7,,3-6 months,,2020,Female,White,,Dudley,Government
A friend's house,,-4,8000,I have neither a quiet space to work nor reliable internet access,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I did not have spring break plans",4,"De-densifying was the correct response pandemic-wise, but let me be clear that it was done in a terrible manner, which placed vulnerable populations in an immense amount of undue and unnecessary risk. The administration missed a major opportunity for inclusivity and did not deliver on its promise to FGLI, intl, and other vulnerable groups.",7,,6-12 months,,2023,Male,White,Straus,,Environmental Science and Engineering
Other (please specify),A farm in North Carolina that doesn't belong to my family,-4,400,I have reliable internet access but not a quiet space to work,Watching recorded lecture,I have changed classes to pass/fail,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"Yes, I went on my planned spring break trip",6,,2,,6-12 months,,2023,Female,White,Thayer,N/A,Physics
Family home,,-7,500,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,No,No,I have not self-quarantined after leaving campus,Yes,"No, I cancelled spring break plans",5,,4,,3-6 months,,2023,Female,Asian,Canaday,,
Family home,,1,500,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I did not have spring break plans",9,Please do not change the grading policy to pass/fail. I am a visiting student and this will cause serious problems for me as my home university will not accept any credits from subjects that have been graded with pass/fail only.,9,,12+ months,,2021,Male,White,N/A,Dudley,Economics
Family home,,-4,50,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",7,"I think they should’ve come up with a plan for storage a bit sooner and given out resources to help find places to go a but sooner after the announcement was made. I think there was a sense of panic on Tuesday regarding storage 
/travel/etc. Otherwise not handled badly. ",4,They should have everyone quarantine and stop everything for 3-4 weeks and then re-evaluate!,6-12 months,,2022,Female,White,Weld,Eliot,"Chemical and Physical Biology,    Molecular and Cellular Biology"
A friend's house,,-7,0,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,Mild symptoms,No,I have self-quarantinined from family and friends,No,"No, I cancelled spring break plans",7,God save Bacow.,6,,2-3 months,-,2022,Male,Asian,,Kirkland,Applied Mathematics
Family home,,-5,500,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",4,"Completely insufficient in many respects. Also worth noting the university did not take student emotions, especially senior emotions, into considerations",2,,2-3 months,,2020,Female,Black or African American,Matthews,Winthrop,History and Literature
Family home,,-4,300,I have reliable internet access but not a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",9,,3,,12+ months,,2020,Female,Hispanic or Latino,N/A,Leverett,Anthropology
Family home,,-4,0,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",No,"Yes, I went on my planned spring break trip",7,"Initially chaotic and disorganized, but became much better with new information and clarification in the days following the announcement.",4,"The U.S. government should have started warning and educating citizens, beginning testing, and generally preparing much sooner. The response continues to be hindered by the president's contradiction of national health professionals and denial of the extent of the crisis.",2-3 months,,2022,Male,"White,Hispanic or Latino",N/A,Currier,Computer Science
Family home,,-4,0,I have neither a quiet space to work nor reliable internet access,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",6,"I think that the quickness in which we had to leave campus and the issues that we’re having with getting a change in the grading system have made things more difficult than necessary.
I had to email one of my instructors already because I had to miss class due and a quiz due to severe personal issues. I’m worried that if such a thing continues to happen I will not do well in my classes. The issues with grad schools and potential employers looking at my transcript in a bad way if I opt-in to pass-fail is keeping me from doing so, but the uncertainty with my situation is worrying as well. Also, I do not like that people are prioritizing the effort that people already put into this semester and academic competition over the experiences of disadvantaged students. We should not have to worry about grades or having to put our full effort into our classes when everything else is messed up right now, especially when we have other major circumstances preventing us from doing such.",4,"The national government has not given us a clear path to recovery, and we are hearing about the potential decision to reopen the economy before the outbreak has even peaked.",3-6 months,,2023,Male,"White,Black or African American",Holworthy,,Government
Family home,,-4,,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,No,No,I have not self-quarantined after leaving campus,No,"No, I did not have spring break plans",6,,3,,2-3 months,,2021,Female,White,,Dunster,Neurobiology
On campus with exemption,,-4,55,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,,No,No,I have not self-quarantined after leaving campus,No,"No, I cancelled spring break plans",3,,1,,3-6 months,,2021,Non-binary,Asian,,Currier,Mathematics
Family home,,-4,100,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I did not have spring break plans",6,,4,,6-12 months,,2021,Male,"Hispanic or Latino,Black or African American",Pennypacker,Kirkland,Psychology
Family home,,-7,0,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",8,,6,,3-6 months,,2020,Female,"White,Black or African American",N/A,Lowell,Economics
Family home,,-4,0,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",5,,3,,3-6 months,,2021,Female,White,,,
Family home,,-4,50,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",3,,3,,3-6 months,,2020,Female,"White,Hispanic or Latino",,Leverett,Psychology
Family home,,-4,25,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,,,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",8,,3,,2-3 months,,2023,Female,"White,Asian",,,
